Source,Target,Type,Id,Label,timeset,Weight
http://www.wikidata.org/entity/Q100156193,http://www.wikidata.org/entity/Q7365114,Undirected,30310,,,2
http://www.wikidata.org/entity/Q100157099,http://www.wikidata.org/entity/Q105316158,Undirected,30311,,,2
http://www.wikidata.org/entity/Q100157099,http://www.wikidata.org/entity/Q21509016,Undirected,30312,,,8
http://www.wikidata.org/entity/Q100157099,http://www.wikidata.org/entity/Q5982398,Undirected,30313,,,22
http://www.wikidata.org/entity/Q100157099,http://www.wikidata.org/entity/Q7365114,Undirected,30314,,,2
http://www.wikidata.org/entity/Q100587885,http://www.wikidata.org/entity/Q10308607,Undirected,30315,,,6
http://www.wikidata.org/entity/Q100587885,http://www.wikidata.org/entity/Q8771913,Undirected,30316,,,10
http://www.wikidata.org/entity/Q100600540,http://www.wikidata.org/entity/Q2659122,Undirected,30317,,,2
http://www.wikidata.org/entity/Q100694962,http://www.wikidata.org/entity/Q55625884,Undirected,30318,,,2
http://www.wikidata.org/entity/Q100699957,http://www.wikidata.org/entity/Q22106426,Undirected,30319,,,192
http://www.wikidata.org/entity/Q100699957,http://www.wikidata.org/entity/Q27440699,Undirected,30320,,,16
http://www.wikidata.org/entity/Q100699957,http://www.wikidata.org/entity/Q27440700,Undirected,30321,,,46
http://www.wikidata.org/entity/Q100699957,http://www.wikidata.org/entity/Q4861425,Undirected,30322,,,18
http://www.wikidata.org/entity/Q100699957,http://www.wikidata.org/entity/Q5345292,Undirected,30323,,,6
http://www.wikidata.org/entity/Q100699957,http://www.wikidata.org/entity/Q82035773,Undirected,30324,,,34
http://www.wikidata.org/entity/Q100771006,http://www.wikidata.org/entity/Q933930,Undirected,30325,,,28
http://www.wikidata.org/entity/Q100783450,http://www.wikidata.org/entity/Q4272889,Undirected,30326,,,2
http://www.wikidata.org/entity/Q100783450,http://www.wikidata.org/entity/Q5901302,Undirected,30327,,,2
http://www.wikidata.org/entity/Q100876,http://www.wikidata.org/entity/Q122972,Undirected,30328,,,4
http://www.wikidata.org/entity/Q100919649,http://www.wikidata.org/entity/Q100920290,Undirected,30329,,,10
http://www.wikidata.org/entity/Q100919649,http://www.wikidata.org/entity/Q1333160,Undirected,30330,,,2
http://www.wikidata.org/entity/Q100935946,http://www.wikidata.org/entity/Q107642857,Undirected,30331,,,2
http://www.wikidata.org/entity/Q100939400,http://www.wikidata.org/entity/Q11866743,Undirected,30332,,,2
http://www.wikidata.org/entity/Q101069260,http://www.wikidata.org/entity/Q108122805,Undirected,30333,,,2
http://www.wikidata.org/entity/Q101069260,http://www.wikidata.org/entity/Q11959947,Undirected,30334,,,206
http://www.wikidata.org/entity/Q101069260,http://www.wikidata.org/entity/Q47127579,Undirected,30335,,,6
http://www.wikidata.org/entity/Q101069260,http://www.wikidata.org/entity/Q5588809,Undirected,30336,,,2
http://www.wikidata.org/entity/Q101069260,http://www.wikidata.org/entity/Q5615062,Undirected,30337,,,2
http://www.wikidata.org/entity/Q101069270,http://www.wikidata.org/entity/Q101069427,Undirected,30338,,,22
http://www.wikidata.org/entity/Q101069270,http://www.wikidata.org/entity/Q101085995,Undirected,30339,,,2
http://www.wikidata.org/entity/Q101069270,http://www.wikidata.org/entity/Q104026644,Undirected,30340,,,4
http://www.wikidata.org/entity/Q101069270,http://www.wikidata.org/entity/Q105686580,Undirected,30341,,,1028
http://www.wikidata.org/entity/Q101069270,http://www.wikidata.org/entity/Q21509783,Undirected,30342,,,10
http://www.wikidata.org/entity/Q101069270,http://www.wikidata.org/entity/Q4107205,Undirected,30343,,,2
http://www.wikidata.org/entity/Q101069270,http://www.wikidata.org/entity/Q5450690,Undirected,30344,,,4666
http://www.wikidata.org/entity/Q101069270,https://orcid.org/0000-0002-5768-8059,Undirected,30345,,,2
http://www.wikidata.org/entity/Q101069270,https://orcid.org/0000-0003-3375-7408,Undirected,30346,,,2
http://www.wikidata.org/entity/Q101069287,http://www.wikidata.org/entity/Q106514197,Undirected,30347,,,4
http://www.wikidata.org/entity/Q101069287,http://www.wikidata.org/entity/Q4582843,Undirected,30348,,,20
http://www.wikidata.org/entity/Q101069287,http://www.wikidata.org/entity/Q5666633,Undirected,30349,,,2
http://www.wikidata.org/entity/Q101069287,http://www.wikidata.org/entity/Q78599,Undirected,30350,,,2
http://www.wikidata.org/entity/Q101069287,http://www.wikidata.org/entity/Q937626,Undirected,30351,,,2
http://www.wikidata.org/entity/Q101069300,http://www.wikidata.org/entity/Q16182972,Undirected,30352,,,280
http://www.wikidata.org/entity/Q101069300,http://www.wikidata.org/entity/Q2037059,Undirected,30353,,,718
http://www.wikidata.org/entity/Q101069300,http://www.wikidata.org/entity/Q94522,Undirected,30354,,,2
http://www.wikidata.org/entity/Q101069359,http://www.wikidata.org/entity/Q101069525,Undirected,30355,,,36
http://www.wikidata.org/entity/Q101069359,http://www.wikidata.org/entity/Q107572992,Undirected,30356,,,4
http://www.wikidata.org/entity/Q101069359,http://www.wikidata.org/entity/Q21515570,Undirected,30357,,,2
http://www.wikidata.org/entity/Q101069359,http://www.wikidata.org/entity/Q5576573,Undirected,30358,,,2
http://www.wikidata.org/entity/Q101069359,http://www.wikidata.org/entity/Q5615062,Undirected,30359,,,2
http://www.wikidata.org/entity/Q101069359,http://www.wikidata.org/entity/Q5965480,Undirected,30360,,,2
http://www.wikidata.org/entity/Q101069359,http://www.wikidata.org/entity/Q62649558,Undirected,30361,,,6
http://www.wikidata.org/entity/Q101069427,http://www.wikidata.org/entity/Q101083944,Undirected,30362,,,182
http://www.wikidata.org/entity/Q101069427,http://www.wikidata.org/entity/Q101085995,Undirected,30363,,,2
http://www.wikidata.org/entity/Q101069427,http://www.wikidata.org/entity/Q107137146,Undirected,30364,,,10
http://www.wikidata.org/entity/Q101069427,http://www.wikidata.org/entity/Q1843500,Undirected,30365,,,846
http://www.wikidata.org/entity/Q101069427,http://www.wikidata.org/entity/Q21393041,Undirected,30366,,,252
http://www.wikidata.org/entity/Q101069427,http://www.wikidata.org/entity/Q21509783,Undirected,30367,,,16
http://www.wikidata.org/entity/Q101069427,http://www.wikidata.org/entity/Q21609912,Undirected,30368,,,2
http://www.wikidata.org/entity/Q101069427,http://www.wikidata.org/entity/Q4154201,Undirected,30369,,,10
http://www.wikidata.org/entity/Q101069427,http://www.wikidata.org/entity/Q5450690,Undirected,30370,,,26
http://www.wikidata.org/entity/Q101069427,http://www.wikidata.org/entity/Q7360815,Undirected,30371,,,66
http://www.wikidata.org/entity/Q101069427,http://www.wikidata.org/entity/Q94522,Undirected,30372,,,2
http://www.wikidata.org/entity/Q101069427,https://orcid.org/0000-0003-3375-7408,Undirected,30373,,,10
http://www.wikidata.org/entity/Q101069525,http://www.wikidata.org/entity/Q11973712,Undirected,30374,,,4
http://www.wikidata.org/entity/Q101069525,http://www.wikidata.org/entity/Q5615062,Undirected,30375,,,2
http://www.wikidata.org/entity/Q101070057,http://www.wikidata.org/entity/Q105513924,Undirected,30376,,,1126
http://www.wikidata.org/entity/Q101070057,http://www.wikidata.org/entity/Q106536185,Undirected,30377,,,4
http://www.wikidata.org/entity/Q101070057,http://www.wikidata.org/entity/Q937626,Undirected,30378,,,4
http://www.wikidata.org/entity/Q101072594,http://www.wikidata.org/entity/Q3736167,Undirected,30379,,,62
http://www.wikidata.org/entity/Q101083944,http://www.wikidata.org/entity/Q21393041,Undirected,30380,,,182
http://www.wikidata.org/entity/Q101083944,https://orcid.org/0000-0003-3375-7408,Undirected,30381,,,2
http://www.wikidata.org/entity/Q101083960,http://www.wikidata.org/entity/Q21609912,Undirected,30382,,,2
http://www.wikidata.org/entity/Q101085379,http://www.wikidata.org/entity/Q32250,Undirected,30383,,,786
http://www.wikidata.org/entity/Q101085458,http://www.wikidata.org/entity/Q105153763,Undirected,30384,,,2
http://www.wikidata.org/entity/Q101085458,http://www.wikidata.org/entity/Q106515610,Undirected,30385,,,12
http://www.wikidata.org/entity/Q101085458,http://www.wikidata.org/entity/Q16571234,Undirected,30386,,,800
http://www.wikidata.org/entity/Q101085458,http://www.wikidata.org/entity/Q21609912,Undirected,30387,,,44
http://www.wikidata.org/entity/Q101085458,http://www.wikidata.org/entity/Q4579511,Undirected,30388,,,2
http://www.wikidata.org/entity/Q101085458,http://www.wikidata.org/entity/Q937626,Undirected,30389,,,1550
http://www.wikidata.org/entity/Q101085458,http://www.wikidata.org/entity/Q94522,Undirected,30390,,,84
http://www.wikidata.org/entity/Q101085788,http://www.wikidata.org/entity/Q106519864,Undirected,30391,,,2
http://www.wikidata.org/entity/Q101085788,http://www.wikidata.org/entity/Q106879881,Undirected,30392,,,2
http://www.wikidata.org/entity/Q101085788,http://www.wikidata.org/entity/Q106979038,Undirected,30393,,,50
http://www.wikidata.org/entity/Q101085788,http://www.wikidata.org/entity/Q107585160,Undirected,30394,,,4
http://www.wikidata.org/entity/Q101085788,http://www.wikidata.org/entity/Q108124004,Undirected,30395,,,12
http://www.wikidata.org/entity/Q101085788,http://www.wikidata.org/entity/Q3127253,Undirected,30396,,,2
http://www.wikidata.org/entity/Q101085788,http://www.wikidata.org/entity/Q5615062,Undirected,30397,,,24
http://www.wikidata.org/entity/Q101085920,http://www.wikidata.org/entity/Q16010100,Undirected,30398,,,2
http://www.wikidata.org/entity/Q101085999,https://orcid.org/0000-0001-9645-3394,Undirected,30399,,,266
http://www.wikidata.org/entity/Q101085999,https://orcid.org/0000-0003-2503-0436,Undirected,30400,,,86
http://www.wikidata.org/entity/Q101086057,http://www.wikidata.org/entity/Q94522,Undirected,30401,,,158
http://www.wikidata.org/entity/Q101444305,http://www.wikidata.org/entity/Q104245351,Undirected,30402,,,2
http://www.wikidata.org/entity/Q101444305,http://www.wikidata.org/entity/Q33818826,Undirected,30403,,,2
http://www.wikidata.org/entity/Q101552462,http://www.wikidata.org/entity/Q104431227,Undirected,30404,,,26
http://www.wikidata.org/entity/Q102596,http://www.wikidata.org/entity/Q6215799,Undirected,30405,,,2
http://www.wikidata.org/entity/Q10270505,http://www.wikidata.org/entity/Q10316563,Undirected,30406,,,24
http://www.wikidata.org/entity/Q10270592,http://www.wikidata.org/entity/Q21505593,Undirected,30407,,,46
http://www.wikidata.org/entity/Q10270592,http://www.wikidata.org/entity/Q442109,Undirected,30408,,,2
http://www.wikidata.org/entity/Q10270592,https://orcid.org/0000-0002-0221-9650,Undirected,30409,,,2
http://www.wikidata.org/entity/Q10270592,https://orcid.org/0000-0003-4013-3804,Undirected,30410,,,2
http://www.wikidata.org/entity/Q10274118,http://www.wikidata.org/entity/Q108829200,Undirected,30411,,,2
http://www.wikidata.org/entity/Q10274118,http://www.wikidata.org/entity/Q2656885,Undirected,30412,,,2
http://www.wikidata.org/entity/Q10274118,http://www.wikidata.org/entity/Q87901404,Undirected,30413,,,2
http://www.wikidata.org/entity/Q10289602,http://www.wikidata.org/entity/Q7166714,Undirected,30414,,,1758
http://www.wikidata.org/entity/Q10289602,http://www.wikidata.org/entity/Q86271,Undirected,30415,,,2
