"","person_id_1","person_id_2","records"
"1","http://www.wikidata.org/entity/Q100156193","http://www.wikidata.org/entity/Q7365114",2
"2","http://www.wikidata.org/entity/Q100157099","http://www.wikidata.org/entity/Q105316158",2
"3","http://www.wikidata.org/entity/Q100157099","http://www.wikidata.org/entity/Q21509016",8
"4","http://www.wikidata.org/entity/Q100157099","http://www.wikidata.org/entity/Q5982398",22
"5","http://www.wikidata.org/entity/Q100157099","http://www.wikidata.org/entity/Q7365114",2
"6","http://www.wikidata.org/entity/Q100587885","http://www.wikidata.org/entity/Q10308607",6
"7","http://www.wikidata.org/entity/Q100587885","http://www.wikidata.org/entity/Q8771913",10
"8","http://www.wikidata.org/entity/Q100600540","http://www.wikidata.org/entity/Q2659122",2
"9","http://www.wikidata.org/entity/Q100694962","http://www.wikidata.org/entity/Q55625884",2
"10","http://www.wikidata.org/entity/Q100699957","http://www.wikidata.org/entity/Q22106426",192
"11","http://www.wikidata.org/entity/Q100699957","http://www.wikidata.org/entity/Q27440699",16
"12","http://www.wikidata.org/entity/Q100699957","http://www.wikidata.org/entity/Q27440700",46
"13","http://www.wikidata.org/entity/Q100699957","http://www.wikidata.org/entity/Q4861425",18
"14","http://www.wikidata.org/entity/Q100699957","http://www.wikidata.org/entity/Q5345292",6
"15","http://www.wikidata.org/entity/Q100699957","http://www.wikidata.org/entity/Q82035773",34
"16","http://www.wikidata.org/entity/Q100771006","http://www.wikidata.org/entity/Q933930",28
"17","http://www.wikidata.org/entity/Q100783450","http://www.wikidata.org/entity/Q4272889",2
"18","http://www.wikidata.org/entity/Q100783450","http://www.wikidata.org/entity/Q5901302",2
"19","http://www.wikidata.org/entity/Q100876","http://www.wikidata.org/entity/Q122972",4
"20","http://www.wikidata.org/entity/Q100919649","http://www.wikidata.org/entity/Q100920290",10
"21","http://www.wikidata.org/entity/Q100919649","http://www.wikidata.org/entity/Q1333160",2
"22","http://www.wikidata.org/entity/Q100935946","http://www.wikidata.org/entity/Q107642857",2
"23","http://www.wikidata.org/entity/Q100939400","http://www.wikidata.org/entity/Q11866743",2
"24","http://www.wikidata.org/entity/Q101069260","http://www.wikidata.org/entity/Q108122805",2
"25","http://www.wikidata.org/entity/Q101069260","http://www.wikidata.org/entity/Q11959947",206
"26","http://www.wikidata.org/entity/Q101069260","http://www.wikidata.org/entity/Q47127579",6
"27","http://www.wikidata.org/entity/Q101069260","http://www.wikidata.org/entity/Q5588809",2
"28","http://www.wikidata.org/entity/Q101069260","http://www.wikidata.org/entity/Q5615062",2
"29","http://www.wikidata.org/entity/Q101069270","http://www.wikidata.org/entity/Q101069427",22
"30","http://www.wikidata.org/entity/Q101069270","http://www.wikidata.org/entity/Q101085995",2
"31","http://www.wikidata.org/entity/Q101069270","http://www.wikidata.org/entity/Q104026644",4
